timestamp,machine_id,cpu_util,mem_util,disk_util,load1,load5,load15,timestep
0,1,39.9,24.9,10.8,0.57,0.49,0.44,0
60,1,42.4,25.7,18.1,0.43,0.37,0.32,1
120,1,43.7,27.1,13.5,0.36,0.33,0.32,2
180,1,42.2,27.3,19.5,0.56,0.56,0.5,3
240,1,41.3,23.8,6.9,0.41,0.37,0.34,4
300,1,41.6,22.6,7.9,0.44,0.42,0.39,5
360,1,43.0,23.1,23.4,0.49,0.43,0.4,6
420,1,45.1,23.7,12.0,0.39,0.33,0.3,7
480,1,44.8,24.5,9.9,0.47,0.44,0.43,8
540,1,44.0,24.7,19.2,0.59,0.52,0.52,9
600,1,44.4,24.9,7.9,0.4,0.4,0.38,10
660,1,43.9,25.7,12.5,0.39,0.35,0.35,11
720,1,43.3,25.6,8.1,0.55,0.53,0.5,12
780,1,45.5,25.1,11.6,0.39,0.38,0.38,13
840,1,44.8,25.6,9.3,0.41,0.41,0.35,14
900,1,40.8,26.9,10.3,0.49,0.47,0.42,15
960,1,44.4,27.6,17.0,0.47,0.42,0.41,16
1020,1,42.1,28.2,13.2,0.41,0.38,0.33,17
1080,1,40.6,27.7,13.6,0.59,0.54,0.52,18
1140,1,43.7,29.3,7.7,0.61,0.58,0.57,19
1200,1,47.3,30.3,12.5,0.47,0.46,0.42,20
1260,1,48.3,30.8,20.3,0.52,0.49,0.45,21
1320,1,50.5,30.6,11.3,0.71,0.63,0.55,22
1380,1,50.7,30.6,10.2,0.57,0.52,0.52,23
1440,1,55.1,31.8,25.1,0.8,0.69,0.6,24
1500,1,58.8,30.8,20.6,0.56,0.51,0.51,25
1560,1,61.1,31.0,17.6,0.78,0.76,0.67,26
1620,1,58.8,33.8,15.6,0.67,0.64,0.54,27
1680,1,59.6,34.8,8.4,0.77,0.73,0.72,28
1740,1,61.2,34.5,11.0,0.53,0.5,0.43,29
1800,1,64.2,34.3,11.2,0.79,0.74,0.65,30
1860,1,62.5,35.7,25.8,0.75,0.74,0.71,31
1920,1,62.0,36.2,14.3,0.8,0.71,0.66,32
1980,1,64.2,36.9,23.2,0.86,0.79,0.76,33
2040,1,67.6,37.8,13.4,0.68,0.63,0.57,34
2100,1,69.9,38.5,24.8,0.9,0.86,0.75,35
2160,1,74.1,38.6,23.2,1.06,0.98,0.97,36
2220,1,76.9,38.4,11.7,0.7,0.66,0.6,37
2280,1,81.9,39.1,13.8,0.77,0.75,0.74,38
2340,1,84.2,39.5,28.2,0.69,0.65,0.61,39
2400,1,84.5,40.3,24.0,0.9,0.82,0.8,40
2460,1,87.2,39.5,28.4,0.84,0.77,0.74,41
2520,1,86.3,39.4,11.7,1.0,0.95,0.89,42
2580,1,87.7,38.2,21.5,1.14,0.97,0.85,43
2640,1,88.8,37.5,24.1,0.75,0.73,0.62,44
2700,1,91.1,36.9,13.4,0.79,0.68,0.66,45
2760,1,93.0,38.7,23.6,0.92,0.82,0.77,46
2820,1,95.0,40.1,11.8,1.01,0.89,0.89,47
2880,1,97.2,40.3,27.8,1.29,1.23,1.14,48
2940,1,98.8,41.8,24.0,1.26,1.12,1.04,49
3000,1,98.1,43.6,17.5,1.14,0.98,0.96,50
3060,1,94.6,45.5,21.4,1.39,1.38,1.29,51
3120,1,96.4,47.9,16.4,0.86,0.83,0.77,52
3180,1,95.5,48.7,28.9,0.77,0.73,0.72,53
3240,1,96.1,49.1,25.2,1.34,1.21,1.09,54
3300,1,97.1,50.2,28.8,1.32,1.22,1.22,55
3360,1,95.0,49.7,12.8,0.93,0.83,0.74,56
3420,1,95.6,50.2,15.1,0.98,0.86,0.76,57
3480,1,100.0,50.4,21.3,1.28,1.27,1.14,58
3540,1,100.0,49.4,14.6,1.4,1.39,1.19,59
3600,1,100.0,49.2,26.1,0.94,0.82,0.78,60
3660,1,100.0,49.6,29.9,0.87,0.75,0.73,61
3720,1,100.0,49.9,13.1,1.24,1.08,1.01,62
3780,1,100.0,50.4,17.8,1.14,1.05,1.0,63
3840,1,100.0,52.9,23.7,1.44,1.32,1.12,64
3900,1,100.0,55.3,28.5,1.32,1.26,1.22,65
3960,1,100.0,55.9,17.5,1.17,1.05,0.92,66
4020,1,100.0,55.0,12.1,1.23,1.19,1.05,67
4080,1,100.0,56.9,20.4,0.92,0.82,0.76,68
4140,1,100.0,57.0,17.3,1.37,1.18,1.08,69
4200,1,100.0,57.3,13.0,1.47,1.26,1.21,70
4260,1,100.0,58.8,14.3,1.4,1.25,1.24,71
4320,1,100.0,60.2,17.7,1.2,1.11,1.06,72
4380,1,100.0,59.6,26.4,1.38,1.18,1.17,73
4440,1,100.0,59.5,30.0,1.12,1.12,1.08,74
4500,1,100.0,58.8,28.2,1.24,1.13,1.1,75
4560,1,100.0,58.3,18.2,1.28,1.09,0.94,76
4620,1,100.0,58.7,15.4,1.36,1.31,1.27,77
4680,1,100.0,60.1,19.2,0.88,0.79,0.67,78
4740,1,100.0,58.7,26.4,1.08,1.01,0.91,79
4800,1,100.0,60.5,15.8,1.34,1.17,1.1,80
4860,1,100.0,61.7,12.1,1.04,0.92,0.81,81
4920,1,100.0,62.4,14.8,1.14,1.03,0.9,82
4980,1,100.0,62.5,12.1,0.8,0.71,0.7,83
5040,1,100.0,64.0,17.5,1.09,1.09,1.02,84
5100,1,100.0,64.6,23.6,1.44,1.32,1.29,85
5160,1,100.0,63.0,13.5,0.81,0.73,0.68,86
5220,1,100.0,63.0,21.5,1.05,0.94,0.93,87
5280,1,100.0,63.0,23.3,0.89,0.86,0.73,88
5340,1,100.0,65.2,28.8,1.12,1.06,0.99,89
5400,1,100.0,67.5,27.3,0.82,0.7,0.67,90
